"","x"
"1","Accounting+services"
"2","Administration+services"
"3","Advertising+services"
"4","Agricultural+services"
"5","Airlines"
"6","Architects"
"7","Artificial+intelligence+services"
"8","Audits+and+compliance+services"
"9","Aviation+services"
"10","Bakeries+&+cake+shops"
"11","Banking+and+financial+services"
"12","Bars+and+pubs"
"13","Beauty+and+grooming+services"
"14","Broadcasting"
"15","Business+outsourcing"
"16","Business+services"
"17","Catering"
"18","Charging+stations"
"19","Childcare+services"
"20","Cleaning+services"
"21","Cloud+computing"
"22","Concerts+and+events"
"23","Construction+services"
"24","Consulting"
"25","Convenience+stores"
"26","Cybersecurity+services"
"27","Data+services"
"28","Delivery"
"29","Dentistry"
"30","Design+services"
"31","Ecommerce"
"32","Engineering+services"
"33","Entertainment"
"34","Environmental+services"
"35","Event+planning+and+management"
"36","Florists"
"37","Foreign+exchange+services"
"38","Healthcare"
"39","Home+renovation+services"
"40","Hospitality"
"41","Hotels+&+resorts"
"42","Import+&+export+services"
"43","Information+technology+services"
"44","Infrastructure+services"
"45","Inspection+services"
"46","Insurance"
"47","Landscaping+services"
"48","Language+schools"
"49","Law+firms+and+legal+services"
"50","Logistics+services"
"51","Maintenance+services"
"52","Management+services+such+as+facility+management"
"53","Manufacturing+as+a+service"
"54","Marketing+services"
"55","Media+services"
"56","Medical+laboratories"
"57","Meeting+and+conference+services"
"58","Mobile+apps"
"59","Movie+theaters"
"60","Moving+and+relocation+services"
"61","Museums"
"62","Music+schools"
"63","Nightclubs"
"64","Parking+services"
"65","Passenger+rail"
"66","Payroll+services"
"67","Performance+theater"
"68","Performance+venues"
"69","Personal+services"
"70","Pet+services"
"71","Private+schools"
"72","Product+as+a+service"
"73","Professional+services"
"74","Real+estate+agents"
"75","Real+estate+rentals"
"76","Recreation+facilities+and+services"
"77","Recruiting+services"
"78","Rentals"
"79","Repair+services"
"80","Research+and+development+services"
"81","Restaurants+and+cafes"
"82","Retail"
"83","Security+services"
"84","Shipping"
"85","Social+media+services"
"86","Spas"
"87","Sports+events"
"88","Staffing+services"
"89","Streaming+media"
"90","Tax+consulting"
"91","Taxis"
"92","Technology+platforms+&+APIs"
"93","Telecom+services"
"94","Testing+services"
"95","Theme+parks"
"96","Tourist+attractions"
"97","Tours"
"98","Training+and+development"
"99","Travel+services"
"100","Utilities"
"101","Video+games"
"102","Warehousing"
"103","Waste+management"
"104","Wellness+services"
